Date,Time,Count,Avg Speed [km/h],PH,PH Bool
07/07/2023,00:00 - 01:00,81,61,#N/A,0
07/07/2023,01:00 - 02:00,47,64,#N/A,0
07/07/2023,02:00 - 03:00,21,60,#N/A,0
07/07/2023,03:00 - 04:00,32,59,#N/A,0
07/07/2023,04:00 - 05:00,46,59,#N/A,0
07/07/2023,05:00 - 06:00,130,64,#N/A,0
07/07/2023,06:00 - 07:00,246,65,#N/A,0
07/07/2023,07:00 - 08:00,340,63,#N/A,0
07/07/2023,08:00 - 09:00,251,63,#N/A,0
07/07/2023,09:00 - 10:00,235,64,#N/A,0
07/07/2023,10:00 - 11:00,146,61,#N/A,0
07/07/2023,11:00 - 12:00,336,61,#N/A,0
07/07/2023,12:00 - 13:00,282,61,#N/A,0
07/07/2023,13:00 - 14:00,260,61,#N/A,0
07/07/2023,14:00 - 15:00,423,63,#N/A,0
07/07/2023,15:00 - 16:00,275,65,#N/A,0
07/07/2023,16:00 - 17:00,233,63,#N/A,0
07/07/2023,17:00 - 18:00,251,63,#N/A,0
07/07/2023,18:00 - 19:00,628,62,#N/A,0
07/07/2023,19:00 - 20:00,655,61,#N/A,0
07/07/2023,20:00 - 21:00,509,60,#N/A,0
07/07/2023,21:00 - 22:00,281,60,#N/A,0
07/07/2023,22:00 - 23:00,213,59,#N/A,0
07/07/2023,23:00 - 24:00,182,61,#N/A,0
08/07/2023,00:00 - 01:00,104,60,#N/A,0
08/07/2023,01:00 - 02:00,67,61,#N/A,0
08/07/2023,02:00 - 03:00,38,66,#N/A,0
08/07/2023,03:00 - 04:00,50,63,#N/A,0
08/07/2023,04:00 - 05:00,63,62,#N/A,0
08/07/2023,05:00 - 06:00,135,62,#N/A,0
08/07/2023,06:00 - 07:00,245,64,#N/A,0
08/07/2023,07:00 - 08:00,439,65,#N/A,0
08/07/2023,08:00 - 09:00,673,60,#N/A,0
08/07/2023,09:00 - 10:00,777,58,#N/A,0
08/07/2023,10:00 - 11:00,827,57,#N/A,0
08/07/2023,11:00 - 12:00,780,58,#N/A,0
08/07/2023,12:00 - 13:00,654,59,#N/A,0
