DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time
07/08/2023 08:00,127,77,0,07/08/2023,08:00:00
07/08/2023 09:00,156,74,0,07/08/2023,09:00:00
07/08/2023 10:00,136,78,0,07/08/2023,10:00:00
07/08/2023 11:00,116,69,0,07/08/2023,11:00:00
07/08/2023 12:00,150,76,0,07/08/2023,12:00:00
07/08/2023 13:00,157,80,0,07/08/2023,13:00:00
07/08/2023 14:00,141,84,0,07/08/2023,14:00:00
07/08/2023 15:00,173,77,0,07/08/2023,15:00:00
07/08/2023 16:00,148,76,0,07/08/2023,16:00:00
07/08/2023 17:00,103,83,0,07/08/2023,17:00:00
07/08/2023 18:00,156,81,0,07/08/2023,18:00:00
07/08/2023 19:00,141,80,0,07/08/2023,19:00:00
07/08/2023 20:00,116,75,0,07/08/2023,20:00:00
07/08/2023 21:00,116,75,0,07/08/2023,21:00:00
07/08/2023 22:00,122,76,0,07/08/2023,22:00:00
07/08/2023 23:00,88,74,0,07/08/2023,23:00:00
08/08/2023 00:00,46,80,0,08/08/2023,00:00:00
08/08/2023 01:00,49,82,0,08/08/2023,01:00:00
08/08/2023 02:00,19,76,0,08/08/2023,02:00:00
08/08/2023 03:00,43,75,0,08/08/2023,03:00:00
08/08/2023 04:00,52,79,0,08/08/2023,04:00:00
08/08/2023 05:00,158,79,0,08/08/2023,05:00:00
08/08/2023 06:00,323,84,0,08/08/2023,06:00:00
08/08/2023 07:00,459,82,0,08/08/2023,07:00:00
08/08/2023 08:00,558,79,0,08/08/2023,08:00:00
08/08/2023 09:00,714,74,0,08/08/2023,09:00:00
08/08/2023 10:00,822,73,0,08/08/2023,10:00:00
08/08/2023 11:00,764,73,0,08/08/2023,11:00:00
08/08/2023 12:00,633,75,0,08/08/2023,12:00:00
08/08/2023 13:00,574,79,0,08/08/2023,13:00:00
08/08/2023 14:00,582,79,0,08/08/2023,14:00:00
08/08/2023 15:00,560,79,0,08/08/2023,15:00:00
08/08/2023 16:00,628,79,0,08/08/2023,16:00:00
08/08/2023 17:00,651,81,0,08/08/2023,17:00:00
08/08/2023 18:00,606,80,0,08/08/2023,18:00:00
08/08/2023 19:00,486,79,0,08/08/2023,19:00:00
08/08/2023 20:00,352,72,0,08/08/2023,20:00:00
08/08/2023 21:00,218,74,0,08/08/2023,21:00:00
08/08/2023 22:00,145,69,0,08/08/2023,22:00:00
08/08/2023 23:00,115,77,0,08/08/2023,23:00:00
09/08/2023 00:00,79,68,0,09/08/2023,00:00:00
09/08/2023 01:00,36,89,0,09/08/2023,01:00:00
09/08/2023 02:00,37,82,0,09/08/2023,02:00:00
09/08/2023 03:00,51,81,0,09/08/2023,03:00:00
